Date,Open,High,Low,Close,Adj Close,Volume
1993-03-19,1.919642,1.973214,1.910714,1.919642,1.814134,38525200
1993-03-22,1.901785,1.924113,1.883928,1.901785,1.797258,41300000
1993-03-23,1.883928,1.928571,1.879471,1.883928,1.780383,25634000
1993-03-24,1.919642,1.937500,1.875000,1.919642,1.814134,35767200
1993-03-25,1.955357,1.955357,1.910714,1.955357,1.847886,42761600
1993-03-26,1.901785,1.955357,1.875000,1.901785,1.797258,37783200
1993-03-29,1.821428,1.875000,1.812500,1.821428,1.721318,65427600
1993-03-30,1.866071,1.866071,1.794642,1.866071,1.763507,66012800
1993-03-31,1.839285,1.883928,1.830357,1.839285,1.738194,55759200
1993-04-01,1.848214,1.857142,1.821428,1.848214,1.746631,27050800
1993-04-02,1.790185,1.830357,1.767857,1.790185,1.691792,63448000
1993-04-05,1.785714,1.803571,1.767857,1.785714,1.687567,37293200
1993-04-06,1.741071,1.794642,1.741071,1.741071,1.645378,42092400
1993-04-07,1.803571,1.812500,1.732142,1.803571,1.704442,40712000
1993-04-08,1.776785,1.803571,1.750000,1.776785,1.679128,40857600
1993-04-12,1.785714,1.821428,1.767857,1.785714,1.687567,23262400
1993-04-13,1.732142,1.830357,1.723214,1.732142,1.636939,41120800
1993-04-14,1.741071,1.741071,1.700899,1.741071,1.645378,42515200
1993-04-15,1.687500,1.723214,1.669642,1.687500,1.594751,54675600
1993-04-16,1.718756,1.741071,1.691971,1.718756,1.624289,171712800
1993-04-19,1.732142,1.767857,1.723214,1.732142,1.636939,56966000
1993-04-20,1.785714,1.794642,1.723214,1.785714,1.687567,60012400
1993-04-21,1.772328,1.812500,1.758928,1.772328,1.674917,51318400
1993-04-22,1.785714,1.803571,1.750000,1.785714,1.687567,39418400
1993-04-23,1.758928,1.794642,1.741071,1.758928,1.662253,33535600
1993-04-26,1.750000,1.776785,1.732142,1.750000,1.653815,25701200
1993-04-27,1.794642,1.794642,1.741071,1.794642,1.696004,32418400
1993-04-28,1.834828,1.857142,1.776785,1.834828,1.733981,40810000
1993-04-29,1.812500,1.848214,1.790185,1.812500,1.712881,20610800
1993-04-30,1.830357,1.875000,1.812500,1.830357,1.729756,33084800
1993-05-03,1.852685,1.857142,1.821428,1.852685,1.750857,16296000
1993-05-04,1.906256,1.937500,1.857142,1.906256,1.801484,42705600
1993-05-05,1.946428,1.982142,1.892857,1.946428,1.839447,63266000
1993-05-06,1.919642,1.955357,1.910714,1.919642,1.814134,17614800
1993-05-07,1.955357,1.955357,1.910714,1.955357,1.847886,20473600
1993-05-10,1.964285,1.995542,1.964285,1.964285,1.856323,34482000
1993-05-11,1.946428,1.973214,1.928571,1.946428,1.839447,39594800
1993-05-12,1.901785,1.955357,1.892857,1.901785,1.797258,26306000
1993-05-13,1.982142,1.991071,1.910714,1.982142,1.873198,90431600
1993-05-14,1.982142,2.000000,1.964285,1.982142,1.873198,29352400
1993-05-17,1.991071,2.000000,1.964285,1.991071,1.881637,17410400
1993-05-18,1.982142,2.008928,1.964285,1.982142,1.873198,40868800
1993-05-19,2.044642,2.053571,1.946428,2.044642,1.932263,43192800
1993-05-20,2.098214,2.107142,2.044642,2.098214,1.982891,72632000
1993-05-21,2.053571,2.111613,2.026785,2.053571,1.940701,37021600
